time,open,high,low,close,Volume,Volume MA
2019-05-06T00:00:00Z,5773.18,5805,5619.14,5747.79,25256.596325,28993.875043750035
2019-05-07T00:00:00Z,5749.92,6028.41,5747.74,5846.34,39905.064422,29823.751458150033
2019-05-08T00:00:00Z,5846.34,6014.72,5772.2,5987.29,23074.05152,29846.492084100035
2019-05-09T00:00:00Z,5986.66,6224.55,5983.71,6209.18,27453.011436,29988.58083975003
2019-05-10T00:00:00Z,6209.95,6468.92,6172,6373.33,36623.61079,30861.315965550028
2019-05-11T00:00:00Z,6375.16,7343.99,6372.85,7076.22,74022.424393,33284.95863825003
2019-05-12T00:00:00Z,7076.24,7521.78,6750,6967.31,86948.975339,36154.214789750025
2019-05-13T00:00:00Z,6968.24,8100,6870,7790.71,85804.735333,38381.34636055002
2019-05-14T00:00:00Z,7795.62,8366,7599.56,7947.56,76583.722603,39799.324870050026
2019-05-15T00:00:00Z,7945.26,8249,7850,8169.87,37884.327211,39211.73673320002
2019-05-16T00:00:00Z,8169.08,8320,7705,7866.59,69630.513996,40247.647707350014
2019-05-17T00:00:00Z,7868.67,7925,6913,7355.26,88752.008159,43914.10326855002
2019-05-18T00:00:00Z,7355.28,7458,7156.61,7257.45,37054.944779,45048.27881405002
2019-05-19T00:00:00Z,7257.32,8275.09,7243.08,8148.48,65577.442058,47331.24416300002
2019-05-20T00:00:00Z,8147.94,8156.03,7553,7938.15,65859.208564,49512.30117970002
2019-05-21T00:00:00Z,7937.16,8042.32,7771,7904.87,52301.752247,51266.51513125002
2019-05-22T00:00:00Z,7904.48,8016,7465,7628.43,49136.994589,52583.57546895002
2019-05-23T00:00:00Z,7627.8,7940.98,7461,7851.51,49648.184701,52751.12606155003
2019-05-24T00:00:00Z,7849.95,8130,7766,7964.87,46664.785325,53100.24487825002
2019-05-25T00:00:00Z,7964.52,8091.8,7908.34,8025.41,28414.328817,53329.83413035002
2019-05-26T00:00:00Z,8023,8740,7833.42,8614.43,49652.144567,54549.61154245002
2019-05-27T00:00:00Z,8612.54,8908.32,8589,8756.32,51886.768793,55148.696761000014
2019-05-28T00:00:00Z,8752.52,8798.49,8510.63,8715.64,31470.551534,55568.52176170002
2019-05-29T00:00:00Z,8716.87,8750,8406.6,8645.68,33880.865922,55889.91448600002
2019-05-30T00:00:00Z,8646.5,9074.26,8005,8269.54,70379.998521,57577.733872550016
2019-05-31T00:00:00Z,8267.1,8594,8108.5,8555,44727.49162,56112.987233900014
2019-06-01T00:00:00Z,8555,8626,8442.36,8544.07,31868.234157,53358.95017480002
2019-06-02T00:00:00Z,8545.1,8814.78,8524,8725.98,27835.133265,50460.470071400014
2019-06-03T00:00:00Z,8726,8800.95,8080.8,8115.82,45692.965104,48915.93219645001
2019-06-04T00:00:00Z,8115.66,8115.66,7481.02,7687.03,74143.948941,50728.913282950016
2019-06-05T00:00:00Z,7687.04,7896.7,7572.78,7776.5,48679.656455,49681.370405900016
2019-06-06T00:00:00Z,7778.08,7868.13,7444.58,7786.7,36624.118747,47074.97593530002
2019-06-07T00:00:00Z,7787.57,8100,7737.49,7980.53,33942.225658,46919.33997925002
2019-06-08T00:00:00Z,7978.94,8044.65,7751,7893.62,22657.329634,44773.334358050015
2019-06-09T00:00:00Z,7895.28,7935,7506.66,7628.13,31568.465157,43058.79718770002
2019-06-10T00:00:00Z,7627.57,8020,7511,7982.75,36756.078468,42281.51349875002
2019-06-11T00:00:00Z,7981,8010,7692.23,7884.9,30334.999427,41341.413740650016
2019-06-12T00:00:00Z,7884.9,8200,7788.99,8127.64,41597.082622,40938.85863670002
2019-06-13T00:00:00Z,8127.64,8309.82,8010.03,8218.54,30467.764341,40129.00758750002
2019-06-14T00:00:00Z,8216.44,8684.41,8144.32,8650,39835.246255,40700.05345940002
2019-06-15T00:00:00Z,8650.88,8864.99,8567.63,8808.7,31791.636039,39807.028033000024
2019-06-16T00:00:00Z,8810.77,9333,8760,8953.33,63289.251219,40377.15215430002
2019-06-17T00:00:00Z,8953,9444,8950,9313.96,47895.485374,41198.39884630002
2019-06-18T00:00:00Z,9312.13,9336.36,8950,9081.55,51554.569401,42082.084020250026
2019-06-19T00:00:00Z,9081.97,9304,8960,9255.49,32147.706495,40170.46941895002
2019-06-20T00:00:00Z,9253.76,9590,9175.2,9517.12,34556.053982,39661.89753705003
2019-06-21T00:00:00Z,9518.06,10174.99,9518.06,10159.86,50484.415892,40592.706623800026
2019-06-22T00:00:00Z,10159.86,11160,9921.72,10729.5,104169.447976,44409.42235935003
2019-06-23T00:00:00Z,10729,11392.64,10555.18,10906.07,57445.323945,44997.04030140002
2019-06-24T00:00:00Z,10905.95,11143.63,10620.8,11056.59,43101.045285,43444.89511860002
2019-06-25T00:00:00Z,11056.59,11850,11026,11820.86,61276.686648,44074.74662825002
2019-06-26T00:00:00Z,11821.28,13970,11741,13093.8,155930.147386,50040.04806020002
2019-06-27T00:00:00Z,13098.38,13478.04,10525.1,11329.99,173894.820889,57037.67782175002
2019-06-28T00:00:00Z,11329.99,12480,10982.88,12400.63,95795.203964,60694.57153825002
2019-06-29T00:00:00Z,12407.06,12441.54,11475.02,11903.13,69642.074157,62598.25198825002
2019-06-30T00:00:00Z,11903.13,12180,10766.03,10854.1,84512.530443,64986.07458700001
2019-07-01T00:00:00Z,10854.1,11282.28,10030,10624.93,90962.268271,68017.4380292
2019-07-02T00:00:00Z,10624.9,10938.75,9727,10842.85,109561.038728,71415.63583449999
2019-07-03T00:00:00Z,10844.98,11991.89,10841.04,11940,96815.90029,74733.04263195
2019-07-04T00:00:00Z,11940,12000,11055,11145.67,66512.221892,76066.8914138
2019-07-05T00:00:00Z,11145.67,11406.83,10796.44,10970.73,63534.350582,77654.02714095
2019-07-06T00:00:00Z,10982.41,11665,10964.51,11256.49,51469.496331,77063.03939655001
2019-07-07T00:00:00Z,11256.45,11538,11094.37,11406.24,38884.795599,76612.50490780002
2019-07-08T00:00:00Z,11410,12338.03,11220,12238.6,52182.367215,76643.89479850003
2019-07-09T00:00:00Z,12238.6,12794.73,12068,12543.41,78442.130343,78958.61599090001
2019-07-10T00:00:00Z,12548.51,13147.08,11569,12108.37,109246.044997,82693.11554165001
2019-07-11T00:00:00Z,12108.11,12111.73,11000,11342.89,87506.461058,84544.21779995001
2019-07-12T00:00:00Z,11342.88,11885,11073,11757.22,56321.858281,82151.83831520002
2019-07-13T00:00:00Z,11757.22,11799.98,10830,11355.76,54245.594548,81991.85184535001
2019-07-14T00:00:00Z,11355.78,11452,10103,10174.18,72517.579236,83462.67854290002
2019-07-15T00:00:00Z,10174.18,11100,9860,10838.72,81922.426332,84494.96552710001
2019-07-16T00:00:00Z,10833.78,11028,9350.01,9439.59,97219.443413,81559.43032845002
2019-07-17T00:00:00Z,9430.17,9957,9060,9667.92,84942.672717,77111.82291985
2019-07-18T00:00:00Z,9668.86,10788,9252,10627.16,80283.310252,76336.22823425001
2019-07-19T00:00:00Z,10628.64,10769.71,10121.84,10504.29,56546.932133,75681.47113305001
2019-07-20T00:00:00Z,10505.78,11068.99,10350,10740.23,47331.899848,73822.43960330001
2019-07-21T00:00:00Z,10740.27,10817.9,10288,10589.45,38834.287935,71216.0405865
2019-07-22T00:00:00Z,10590.15,10683.16,10100,10340.31,40467.954839,67761.38639205002
2019-07-23T00:00:00Z,10343.08,10343.97,9822,9864.91,47624.37071,65301.80991305001
2019-07-24T00:00:00Z,9864.78,9937,9525,9763.28,43475.380377,64149.96783730001
2019-07-25T00:00:00Z,9763.4,10175,9720.03,9879.87,37873.354728,62866.91804460001
2019-07-26T00:00:00Z,9882.15,9889.98,9637,9824,27167.463217,61651.816388900006
2019-07-27T00:00:00Z,9824,10188.66,9333,9476.52,43809.778301,61898.065524
2019-07-28T00:00:00Z,9478.92,9594.99,9165,9541.54,29401.022937,60758.998310099996
2019-07-29T00:00:00Z,9541.54,9729,9395,9507.64,29021.937411,58287.9886635
2019-07-30T00:00:00Z,9509.07,9714.28,9402,9574.21,32536.368834,54452.50485535001
2019-07-31T00:00:00Z,9575,10109.8,9555,10080.53,39515.35456,52052.94953045001
2019-08-01T00:00:00Z,10080.53,10467.86,9863.46,10374.99,41727.637028,51323.23846780001
2019-08-02T00:00:00Z,10375,10670,10281.35,10523.75,42990.444221,50760.48095145
2019-08-03T00:00:00Z,10523.75,10904.77,10497.93,10816.86,33802.318824,48824.717930850005
2019-08-04T00:00:00Z,10816.86,11040,10552,10929.23,39924.745141,46724.833871300005
2019-08-05T00:00:00Z,10929.99,11937.52,10927.8,11828.8,65153.673713,45121.54538630001
2019-08-06T00:00:00Z,11830,12330.7,11226.7,11481.69,76705.389875,44709.68124420001
2019-08-07T00:00:00Z,11481.69,12141.17,11382.84,11975.03,69173.390353,44154.18524925001
2019-08-08T00:00:00Z,11975.04,12060,11521,11999.77,51207.257174,43887.20150130001
2019-08-09T00:00:00Z,11994.17,12045.68,11700,11879.99,39427.152588,43491.964138300005
2019-08-10T00:00:00Z,11879.98,11985,11270,11309.31,42633.087048,43681.904093950005
2019-08-11T00:00:00Z,11309.24,11600,11112.11,11549.97,26772.90691,42997.151697500005
2019-08-12T00:00:00Z,11539.08,11577.89,11235.32,11396.08,17568.227075,41494.344515749995
2019-08-13T00:00:00Z,11398.35,11456.16,10788.45,10892.71,33234.72968,40982.3119809
2019-08-14T00:00:00Z,10893.36,10897.48,9928.1,10050.37,54451.847499,41811.23661945
2019-08-15T00:00:00Z,10055.16,10460,9911,10293.93,38174.45112,42361.5860146
